player,x,y,cluster,team,position
James Hill,5.7253103,8.4337015,1,Bournemouth,DF
James Justin,1.4603575,4.782839,0,Leicester City,DF
James Maddison,0.1487193,6.9050384,2,Tottenham,MF
James Mcatee,3.6493306,9.260315,1,Manchester City,"MF,FW"
James Milner,6.0554295,6.568438,1,Brighton,MF
James Tarkowski,2.7671323,4.237029,0,Everton,DF
James Ward-Prowse,3.6697204,6.377203,1,West Ham,MF
Jamie Vardy,0.66549045,9.001308,2,Leicester City,FW
Jan Bednarek,3.1361055,3.7992141,0,Southampton,DF
Jan Paul van Hecke,2.4672594,3.5451965,0,Brighton,DF
Jannik Vestergaard,4.237444,5.7373366,1,Leicester City,DF
Jarell Quansah,6.7393494,8.168626,1,Liverpool,DF
Jarrad Branthwaite,2.9558709,3.706126,0,Everton,DF
Jarrod Bowen,-0.30043328,7.1609225,2,West Ham,"FW,MF"
Jason Steele,7.374447,6.568412,1,Brighton,GK
Jay Robinson,6.703787,9.748819,1,Southampton,"MF,FW"
Jay Stansfield,7.869412,8.511143,1,Fulham,MF
Jayden Danns,7.5130873,9.315512,1,Liverpool,MF
Jayden Meghoma,7.9313745,9.031008,1,Brentford,DF
Jean-Clair Todibo,3.4488583,5.2974806,0,West Ham,DF
Jean-Philippe Mateta,0.6108436,8.870491,2,Crystal Palace,FW
Jean-Ricner Bellegarde,3.898222,8.175652,2,Wolves,"MF,FW"
Jefferson Lerma,2.424007,4.9315886,0,Crystal Palace,"MF,DF"
Jeffrey Schlupp,6.1502995,6.8862276,1,Crystal Palace,"MF,DF"
Jens Cajuste,2.694691,4.8310604,0,Ipswich Town,MF
Jeremy Doku,0.6524839,7.4991913,2,Manchester City,"FW,MF"
Jeremy Monga,6.3862762,7.3537188,1,Leicester City,"FW,MF"
Jeremy Sarmiento,7.8733444,8.666684,1,Brighton,MF
Jesper Lindstrøm,2.9078746,6.706094,2,Everton,FW
Joachim Andersen,7.1894875,7.4084697,1,Crystal Palace,DF
Joachim Kayi Sanda,7.916248,9.114614,1,Southampton,DF
Joe Aribo,2.6389875,4.759452,0,Southampton,"MF,DF"
Joe Gomez,5.5164814,6.189879,1,Liverpool,DF
Joe Lumley,7.6668725,6.8600645,1,Southampton,GK
Joe Willock,3.2860713,7.044965,1,Newcastle Utd,"MF,FW"
Joel Ward,6.740341,6.628622,1,Crystal Palace,DF
