,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
352,Nikola Milenković,rs SRB,DF,Nott'ham Forest,26,1997,37,21,0.57,16,0,0,4,0,1,3,0.08,3,0,0,0,0,0,Matches
353,Lewis Miley,eng ENG,MF,Newcastle Utd,18,2006,3.5,4,1.15,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
354,James Milner,eng ENG,MF,Brighton,38,1986,1.9,8,4.24,5,2,0,0,1,0,0,0,0,0,0,0,0,0,Matches
355,Tyrone Mings,eng ENG,DF,Aston Villa,31,1993,12.4,18,1.45,15,0,0,1,1,1,2,0.16,1,0,0,1,0,0,Matches
356,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20,2004,20.4,64,3.14,37,8,13,3,2,1,13,0.64,6,0,6,1,0,0,Matches
357,Tyrick Mitchell,eng ENG,DF,Crystal Palace,24,1999,34.4,72,2.1,65,1,0,3,2,1,7,0.2,6,0,0,0,1,0,Matches
358,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27,1997,28.9,87,3.01,73,0,6,3,4,1,10,0.35,9,0,0,0,1,0,Matches
359,Jakub Moder,pl POL,MF,Brighton,25,1999,0.1,4,32.73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Jeremy Monga,,"FW,MF",Leicester City,,,1.2,2,1.61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
361,Mikey Moore,eng ENG,FW,Tottenham,16,2007,4.1,12,2.95,7,2,0,1,2,0,2,0.49,1,0,0,1,0,0,Matches
362,Morato,br BRA,DF,Nott'ham Forest,23,2001,10.1,3,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
363,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31,1993,10.6,16,1.51,15,1,0,0,0,0,2,0.19,2,0,0,0,0,0,Matches
364,Sam Morsy,eg EGY,MF,Ipswich Town,32,1991,30.6,51,1.67,46,4,0,0,1,0,2,0.07,2,0,0,0,0,0,Matches
365,Yerson Mosquera,co COL,DF,Wolves,23,2001,4.9,5,1.02,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Mason Mount,eng ENG,MF,Manchester Utd,25,1999,6.9,22,3.18,15,3,0,3,1,0,0,0,0,0,0,0,0,0,Matches
367,Divin Mubama,eng ENG,FW,Manchester City,19,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Mykhailo Mudryk,ua UKR,FW,Chelsea,23,2001,1.7,6,3.6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
369,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28,1996,12,21,1.75,16,0,0,2,2,1,1,0.08,1,0,0,0,0,0,Matches
370,Rodrigo Muniz,br BRA,FW,Fulham,23,2001,10.7,17,1.59,10,0,2,2,2,1,2,0.19,1,0,1,0,0,0,Matches
371,Daniel Muñoz,co COL,DF,Crystal Palace,28,1996,35.9,85,2.37,69,2,2,6,1,5,11,0.31,9,0,1,1,0,0,Matches
372,Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,1,0.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Murillo,br BRA,DF,Nott'ham Forest,22,2002,35.4,44,1.24,30,7,0,4,1,2,2,0.06,1,1,0,0,0,0,Matches
374,Jacob Murphy,eng ENG,FW,Newcastle Utd,29,1995,26.2,82,3.13,65,5,4,3,3,2,15,0.57,14,0,0,0,1,0,Matches
375,Vitaliy Mykolenko,ua UKR,DF,Everton,25,1999,34.2,43,1.26,40,0,1,2,0,0,4,0.12,3,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
376,Iliman Ndiaye,sn SEN,FW,Everton,24,2000,27,65,2.41,49,0,9,1,6,0,8,0.3,5,0,2,0,1,0,Matches
377,Wilfred Ndidi,ng NGA,MF,Leicester City,27,1996,25.8,31,1.2,29,0,1,1,0,0,4,0.15,4,0,0,0,0,0,Matches
378,Kosta Nedeljković,rs SRB,DF,Aston Villa,18,2005,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Reiss Nelson,eng ENG,FW,Arsenal,24,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Reiss Nelson,eng ENG,FW,Fulham,24,1999,5.4,31,5.73,21,2,3,4,0,1,1,0.18,1,0,0,0,0,0,Matches
381,Neto,br BRA,GK,Bournemouth,35,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Pedro Neto,pt POR,FW,Chelsea,24,2000,25.2,90,3.57,64,9,6,7,4,0,9,0.36,5,1,2,1,0,0,Matches
383,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,1999,11.5,31,2.69,20,0,3,3,5,0,3,0.26,2,0,0,0,1,0,Matches
384,Christopher Nkunku,fr FRA,FW,Chelsea,26,1997,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0,Matches
385,Gustavo Nunes,br BRA,"FW,MF",Brentford,18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Matheus Nunes,pt POR,"DF,MF",Manchester City,25,1998,18.6,46,2.47,35,2,3,3,3,0,8,0.43,5,0,1,2,0,0,Matches
387,Darwin Núñez,uy URU,FW,Liverpool,25,1999,12.6,31,2.46,21,0,4,1,2,3,4,0.32,3,0,0,0,1,0,Matches
388,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17,2007,9.9,29,2.91,15,6,5,2,1,0,3,0.3,3,0,0,0,0,0,Matches
389,Christian Nørgaard,dk DEN,MF,Brentford,30,1994,31.3,58,1.85,48,0,0,7,2,1,13,0.42,11,0,0,1,1,0,Matches
390,Jake O'Brien,ie IRL,DF,Everton,23,2001,17.5,16,0.92,14,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
391,Matt O'Riley,dk DEN,MF,Brighton,23,2000,10.4,40,3.84,23,11,1,2,1,2,5,0.48,4,0,0,0,1,0,Matches
392,Dara O'Shea,ie IRL,DF,Ipswich Town,25,1999,34.7,24,0.69,19,0,0,2,2,1,4,0.12,4,0,0,0,0,0,Matches
393,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,16,2007,1.8,2,1.09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
394,Wilson Odobert,fr FRA,"FW,MF",Tottenham,19,2004,9.4,16,1.7,14,0,0,2,0,0,1,0.11,1,0,0,0,0,0,Matches
395,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27,1997,2.6,3,1.13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
396,Caleb Okoli,it ITA,DF,Leicester City,23,2001,12.5,4,0.32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Robin Olsen,se SWE,GK,Aston Villa,34,1990,2.5,2,0.8,0,2,0,0,0,0,1,0.4,0,1,0,0,0,0,Matches
398,Amadou Onana,be BEL,MF,Aston Villa,22,2001,18,32,1.78,25,2,1,4,0,0,4,0.22,2,1,0,1,0,0,Matches
399,André Onana,cm CMR,GK,Manchester Utd,28,1996,34,4,0.12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
400,Paul Onuachu,ng NGA,FW,Southampton,30,1994,11.7,9,0.77,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
401,Frank Onyeka,ng NGA,MF,Brentford,26,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Lewis Orford,eng ENG,MF,West Ham,18,2006,0.5,2,3.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
403,Stefan Ortega,de GER,GK,Manchester City,31,1992,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,William Osula,dk DEN,FW,Newcastle Utd,20,2003,1.5,4,2.69,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
405,Dango Ouattara,bf BFA,FW,Bournemouth,22,2002,22.3,72,3.23,57,0,3,10,1,1,6,0.27,4,0,1,1,0,0,Matches
406,Nico O’Reilly,eng ENG,DF,Manchester City,19,2005,5.9,12,2.05,9,1,1,0,1,0,2,0.34,2,0,0,0,0,0,Matches
407,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,3,0.23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Cole Palmer,eng ENG,"MF,FW",Chelsea,22,2002,35.5,202,5.7,134,21,16,21,8,2,15,0.42,11,0,2,1,1,0,Matches
409,Emerson Palmieri,it ITA,DF,West Ham,29,1994,23.5,41,1.75,25,11,0,2,2,1,2,0.09,1,1,0,0,0,0,Matches
410,Lucas Paquetá,br BRA,"MF,FW",West Ham,26,1997,26.4,82,3.1,68,2,2,4,5,1,6,0.23,3,0,0,2,1,0,Matches
411,Thomas Partey,gh GHA,"MF,DF",Arsenal,31,1993,31.1,62,2,52,2,1,2,1,4,13,0.42,8,2,0,1,1,1,Matches
412,Nathan Patterson,sct SCO,DF,Everton,22,2001,3.9,11,2.85,8,1,2,0,0,0,1,0.26,1,0,0,0,0,0,Matches
413,Andreas Pereira,br BRA,MF,Fulham,28,1996,22.4,104,4.65,54,41,0,4,4,1,8,0.36,4,2,0,0,2,0,Matches
414,Ricardo Pereira,pt POR,DF,Leicester City,30,1993,4.3,3,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
415,Kalvin Phillips,eng ENG,MF,Ipswich Town,28,1995,13.7,17,1.24,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0,Matches
416,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22,2002,3.7,5,1.36,3,0,0,0,1,1,0,0,0,0,0,0,0,0,Matches
417,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,22,2002,5.3,9,1.71,6,0,1,1,1,0,0,0,0,0,0,0,0,0,Matches
418,Jordan Pickford,eng ENG,GK,Everton,30,1994,38,13,0.34,12,1,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
419,Ethan Pinnock,jm JAM,DF,Brentford,31,1993,21.3,21,0.99,13,5,0,2,1,0,0,0,0,0,0,0,0,0,Matches
420,Daniel Podence,pt POR,"MF,FW",Wolves,28,1995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
421,Alfie Pond,eng ENG,DF,Wolves,20,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
422,Nick Pope,eng ENG,GK,Newcastle Utd,32,1992,28,7,0.25,6,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
423,Pedro Porro,es ESP,DF,Tottenham,24,1999,29,108,3.72,72,23,3,5,4,1,8,0.28,4,3,1,0,0,0,Matches
424,Jarell Quansah,eng ENG,DF,Liverpool,21,2003,5.5,3,0.55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
425,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,3,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
426,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23,2001,18,51,2.83,40,0,4,1,6,0,8,0.44,7,0,0,0,1,0,Matches
427,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,26,1997,10.9,29,2.67,24,1,2,2,0,0,1,0.09,1,0,0,0,0,0,Matches
428,Marcus Rashford,eng ENG,FW,Aston Villa,26,1997,4.9,27,5.49,14,5,3,2,3,0,3,0.61,2,0,0,1,0,0,Matches
429,David Raya,es ESP,GK,Arsenal,28,1995,38,5,0.13,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
430,Harrison Reed,eng ENG,MF,Fulham,29,1995,1.2,1,0.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
431,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Sergio Reguilón,es ESP,DF,Tottenham,27,1996,2.2,1,0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
433,Vitor Reis,br BRA,DF,Manchester City,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
434,Chadi Riad,ma MAR,DF,Crystal Palace,21,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Declan Rice,eng ENG,MF,Arsenal,25,1999,31.4,111,3.54,62,33,4,5,5,2,10,0.32,6,2,1,1,0,0,Matches
436,Chris Richards,us USA,DF,Crystal Palace,24,2000,21.4,9,0.42,5,0,0,2,1,1,2,0.09,0,0,0,2,0,0,Matches
437,Richarlison,br BRA,FW,Tottenham,27,1997,5.6,8,1.43,5,0,0,2,1,0,1,0.18,1,0,0,0,0,0,Matches
438,Andrew Robertson,sct SCO,DF,Liverpool,30,1994,27.6,80,2.9,68,9,1,1,0,1,4,0.14,4,0,0,0,0,0,Matches
439,Antonee Robinson,us USA,DF,Fulham,26,1997,35.2,80,2.27,74,1,2,2,0,1,11,0.31,11,0,0,0,0,0,Matches
440,Jay Robinson,eng ENG,"MF,FW",Southampton,17,2007,1.5,8,5.26,4,0,3,1,0,0,1,0.66,0,0,0,1,0,0,Matches
441,Rodri,es ESP,MF,Manchester City,28,1996,0.8,2,2.47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
442,Guido Rodríguez,ar ARG,MF,West Ham,30,1994,12.8,12,0.94,10,0,0,2,0,0,1,0.08,1,0,0,0,0,0,Matches
443,Mads Roerslev,dk DEN,DF,Brentford,25,1999,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0,Matches
444,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2002,34.6,105,3.04,80,0,13,7,5,0,16,0.46,14,0,1,0,1,0,Matches
445,Cristian Romero,ar ARG,DF,Tottenham,26,1998,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0,Matches
446,Georginio Rutter,fr FRA,"MF,FW",Brighton,22,2002,18.4,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0,Matches
447,José Sá,pt POR,GK,Wolves,31,1993,29,5,0.17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
448,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,2001,19.2,117,6.09,71,20,12,10,4,0,23,1.2,14,5,2,1,1,0,Matches
449,Mohamed Salah,eg EGY,FW,Liverpool,32,1992,37.5,169,4.51,123,2,22,14,5,3,27,0.72,20,0,5,2,0,0,Matches
450,William Saliba,fr FRA,DF,Arsenal,23,2001,33.8,27,0.8,25,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
451,Robert Sánchez,es ESP,GK,Chelsea,26,1997,32,7,0.22,6,1,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches
452,Jadon Sancho,eng ENG,FW,Chelsea,24,2000,19.6,70,3.57,63,0,3,1,3,0,10,0.51,9,0,0,0,1,0,Matches
453,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,26,1997,6.6,8,1.22,7,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
454,Pablo Sarabia,es ESP,"MF,FW",Wolves,32,1992,9,28,3.1,20,6,2,0,0,0,5,0.55,4,0,1,0,0,0,Matches
455,Jeremy Sarmiento,ec ECU,MF,Brighton,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
456,Ismaila Sarr,sn SEN,MF,Crystal Palace,26,1998,30.1,110,3.65,81,0,6,9,14,0,12,0.4,9,0,1,0,2,0,Matches
457,Sávio,br BRA,"FW,MF",Manchester City,20,2004,19.6,111,5.66,80,2,15,4,7,3,15,0.76,10,0,2,1,1,1,Matches
458,Oliver Scarles,eng ENG,"DF,FW",West Ham,18,2005,7.4,6,0.81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
459,Dane Scarlett,eng ENG,"FW,MF",Tottenham,20,2004,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,Matches
460,Kevin Schade,de GER,FW,Brentford,22,2001,25.5,57,2.24,35,6,6,4,5,1,9,0.35,5,0,1,3,0,0,Matches
461,Fabian Schär,ch SUI,DF,Newcastle Utd,32,1991,32.6,37,1.13,26,1,1,3,2,4,4,0.12,2,0,0,2,0,0,Matches
462,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,31,1992,1.1,7,6.06,5,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
463,Alex Scott,eng ENG,MF,Bournemouth,20,2003,8.4,29,3.45,19,2,0,2,3,3,2,0.24,2,0,0,0,0,0,Matches
464,Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,6,0.16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
465,Nélson Semedo,pt POR,DF,Wolves,30,1993,32.1,60,1.87,44,1,8,1,3,3,6,0.19,6,0,0,0,0,0,Matches
466,Antoine Semenyo,gh GHA,FW,Bournemouth,24,2000,35.6,132,3.71,85,4,21,15,5,2,13,0.37,7,1,2,1,2,0,Matches
467,Marcos Senesi,ar ARG,DF,Bournemouth,27,1997,12.3,16,1.3,16,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
468,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24,2000,6.4,24,3.72,20,0,1,2,1,0,4,0.62,4,0,0,0,0,0,Matches
469,Luke Shaw,eng ENG,DF,Manchester Utd,29,1995,3.9,10,2.58,8,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
470,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
471,Bernardo Silva,pt POR,"MF,FW",Manchester City,29,1994,29.7,92,3.1,81,3,4,1,3,0,8,0.27,8,0,0,0,0,0,Matches
472,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,24,1999,9.5,29,3.06,22,0,1,3,3,0,3,0.32,2,0,0,0,1,0,Matches
473,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18,2006,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
474,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,18,2005,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
475,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25,1999,2.6,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
476,Oliver Skipp,eng ENG,MF,Leicester City,23,2000,12.5,15,1.2,13,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
477,William Smallbone,ie IRL,MF,Southampton,24,2000,7.7,16,2.09,12,3,0,1,0,0,0,0,0,0,0,0,0,0,Matches
478,Adam Smith,eng ENG,DF,Bournemouth,33,1991,17.7,23,1.3,17,1,1,0,3,1,2,0.11,1,0,0,0,1,0,Matches
479,Emile Smith Rowe,eng ENG,MF,Fulham,24,2000,22.7,73,3.22,57,0,3,8,2,3,12,0.53,10,0,1,0,0,1,Matches
480,Dominic Solanke,eng ENG,FW,Tottenham,26,1997,24.5,37,1.51,25,0,0,9,2,1,8,0.33,6,0,0,1,1,0,Matches
481,Carlos Soler,es ESP,"MF,FW",West Ham,27,1997,15.7,51,3.26,31,9,2,5,3,1,2,0.13,2,0,0,0,0,0,Matches
482,Julio Soler,ar ARG,"DF,FW",Bournemouth,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
483,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,24,1999,3.3,14,4.23,11,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
484,Tomáš Souček,cz CZE,MF,West Ham,29,1995,28.5,44,1.54,35,0,0,6,2,1,3,0.11,2,0,0,0,1,0,Matches
485,Boubakary Soumaré,fr FRA,MF,Leicester City,25,1999,24.1,35,1.45,27,0,5,1,2,0,3,0.12,3,0,0,0,0,0,Matches
486,Djed Spence,eng ENG,DF,Tottenham,23,2000,19.9,29,1.46,23,1,4,1,0,0,5,0.25,3,1,1,0,0,0,Matches
487,Jay Stansfield,eng ENG,MF,Fulham,21,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
488,Jason Steele,eng ENG,GK,Brighton,33,1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
489,Jack Stephens,eng ENG,DF,Southampton,30,1994,15.4,13,0.84,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
490,Raheem Sterling,eng ENG,"FW,MF",Arsenal,29,1994,5.5,19,3.43,14,0,3,2,0,0,3,0.54,3,0,0,0,0,0,Matches
491,Ross Stewart,sct SCO,FW,Southampton,28,1996,4.3,5,1.16,1,0,1,2,1,0,0,0,0,0,0,0,0,0,Matches
492,Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
493,John Stones,eng ENG,"DF,MF",Manchester City,30,1994,6.1,8,1.31,8,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches
494,Jørgen Strand Larsen,no NOR,FW,Wolves,24,2000,28.7,42,1.46,33,1,1,3,2,2,6,0.21,6,0,0,0,0,0,Matches
495,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24,2000,17.3,39,2.25,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0,Matches
496,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22,2002,15.6,30,1.93,15,1,10,3,1,0,3,0.19,1,0,1,1,0,0,Matches
497,Crysencio Summerville,nl NED,"FW,MF",West Ham,22,2001,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Matches
498,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28,1995,11,10,0.91,8,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
499,Dominik Szoboszlai,hu HUN,MF,Liverpool,23,2000,27.7,119,4.3,90,7,5,13,3,1,16,0.58,12,1,0,3,0,0,Matches
500,Matt Targett,eng ENG,DF,Newcastle Utd,28,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
501,James Tarkowski,eng ENG,DF,Everton,31,1992,32.5,38,1.17,32,2,0,4,0,0,4,0.12,4,0,0,0,0,0,Matches
502,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25,1999,21.5,98,4.55,68,12,3,10,5,0,11,0.51,5,3,0,2,1,0,Matches
503,Charlie Taylor,eng ENG,DF,Southampton,30,1993,4,2,0.51,2,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
504,Jack Taylor,ie IRL,MF,Ipswich Town,26,1998,9.6,22,2.3,15,1,2,2,0,2,2,0.21,2,0,0,0,0,0,Matches
505,Mathys Tel,fr FRA,FW,Tottenham,19,2005,10.1,28,2.77,18,1,3,2,4,0,2,0.2,1,0,0,0,1,0,Matches
506,Kenny Tete,nl NED,DF,Fulham,28,1995,19.7,36,1.83,28,0,2,3,2,1,4,0.2,4,0,0,0,0,0,Matches
507,Thiago,br BRA,"FW,MF",Brentford,23,2001,1.9,3,1.55,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
508,Luke Thomas,eng ENG,DF,Leicester City,23,2001,12.3,16,1.3,12,3,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
509,Youri Tielemans,be BEL,MF,Aston Villa,27,1997,33.6,122,3.63,79,31,3,6,2,1,12,0.36,9,3,0,0,0,0,Matches
510,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27,1997,2.9,10,3.47,9,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
511,Jurriën Timber,nl NED,DF,Arsenal,23,2001,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0,Matches
512,Jean-Clair Todibo,fr FRA,DF,West Ham,24,1999,20.3,5,0.25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
513,Harry Toffolo,eng ENG,DF,Nott'ham Forest,28,1995,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25,1998,0.1,1,12.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
515,Sandro Tonali,it ITA,MF,Newcastle Utd,24,2000,29.2,78,2.67,50,10,3,6,6,3,9,0.31,8,1,0,0,0,0,Matches
516,Pau Torres,es ESP,DF,Aston Villa,27,1997,22.4,14,0.62,11,0,0,3,0,0,2,0.09,1,0,0,1,0,0,Matches
517,Conor Townsend,eng ENG,DF,Ipswich Town,31,1993,3.7,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
518,Adama Traoré,es ESP,"FW,MF",Fulham,28,1996,19.7,82,4.16,66,0,9,4,1,2,10,0.51,9,0,1,0,0,0,Matches
519,Boubacar Traoré,ml MLI,MF,Wolves,22,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
520,Mark Travers,ie IRL,GK,Bournemouth,25,1999,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
521,Ryan Trevitt,eng ENG,MF,Brentford,21,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
522,Kieran Trippier,eng ENG,DF,Newcastle Utd,33,1990,14.5,54,3.71,32,20,0,2,0,0,6,0.41,4,2,0,0,0,0,Matches
523,Leandro Trossard,be BEL,FW,Arsenal,29,1994,28.3,93,3.29,72,2,7,6,4,2,8,0.28,8,0,0,0,0,0,Matches
524,Kostas Tsimikas,gr GRE,DF,Liverpool,28,1996,9.3,31,3.33,21,9,0,0,1,0,2,0.21,1,1,0,0,0,0,Matches
525,Axel Tuanzebe,cd COD,DF,Ipswich Town,26,1997,19,19,1,17,1,0,0,1,0,2,0.11,2,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
526,Destiny Udogie,it ITA,DF,Tottenham,21,2002,21.4,36,1.68,31,0,0,1,1,3,3,0.14,2,0,0,0,0,1,Matches
527,Manuel Ugarte,uy URU,MF,Manchester Utd,23,2001,19.8,31,1.56,24,0,0,2,2,3,4,0.2,3,0,0,1,0,0,Matches
