,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
438,Andrew Robertson,sct SCO,DF,Liverpool,30,1994,33,29,"2,482",27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0,0.04,0.04,0,0.04,0.04,0.17,0.21,0.04,0.21,Matches
439,Antonee Robinson,us USA,DF,Fulham,26,1997,36,35,"3,167",35.2,0,10,10,0,0,0,8,0,0.7,0.7,4.2,4.9,118,131,274,0,0.28,0.28,0,0.28,0.02,0.12,0.14,0.02,0.14,Matches
440,Jay Robinson,eng ENG,"MF,FW",Southampton,17,2007,4,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0.7,0.7,3,1,10,0,0,0,0,0,0.03,0.44,0.47,0.03,0.47,Matches
441,Rodri,es ESP,MF,Manchester City,28,1996,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
442,Guido Rodríguez,ar ARG,MF,West Ham,30,1994,23,16,"1,149",12.8,0,1,1,0,0,0,6,0,0.2,0.2,0.2,0.4,4,33,7,0,0.08,0.08,0,0.08,0.02,0.01,0.03,0.02,0.03,Matches
443,Mads Roerslev,dk DEN,DF,Brentford,25,1999,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3,3.2,17,51,54,0,0.16,0.16,0,0.16,0.02,0.24,0.26,0.02,0.26,Matches
444,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2002,37,37,"3,114",34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,114,123,188,0.23,0.29,0.52,0.23,0.52,0.19,0.23,0.42,0.19,0.42,Matches
445,Cristian Romero,ar ARG,DF,Tottenham,26,1998,18,18,"1,416",15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0,0.06,0.06,0.06,0.1,0.04,0.14,0.1,0.14,Matches
446,Georginio Rutter,fr FRA,"MF,FW",Brighton,22,2002,28,19,"1,656",18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
447,José Sá,pt POR,GK,Wolves,31,1993,29,29,"2,609",29,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
448,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,2001,25,20,"1,729",19.2,6,10,16,5,1,1,3,0,6.8,6,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,Matches
449,Mohamed Salah,eg EGY,FW,Liverpool,32,1992,38,38,"3,371",37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,155,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,Matches
450,William Saliba,fr FRA,DF,Arsenal,23,2001,35,35,"3,039",33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
451,Robert Sánchez,es ESP,GK,Chelsea,26,1997,32,32,"2,880",32,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Jadon Sancho,eng ENG,FW,Chelsea,24,2000,31,19,"1,764",19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,102,90,225,0.15,0.2,0.36,0.15,0.36,0.11,0.19,0.3,0.11,0.3,Matches
453,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,26,1997,13,7,590,6.6,0,1,1,0,0,0,3,0,0,0,0.4,0.4,1,27,4,0,0.15,0.15,0,0.15,0,0.06,0.06,0,0.06,Matches
454,Pablo Sarabia,es ESP,"MF,FW",Wolves,32,1992,23,7,814,9,3,2,5,3,0,0,3,0,2.9,2.9,1.8,4.6,15,60,62,0.33,0.22,0.55,0.33,0.55,0.32,0.19,0.51,0.32,0.51,Matches
455,Jeremy Sarmiento,ec ECU,MF,Brighton,22,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
456,Ismaila Sarr,sn SEN,MF,Crystal Palace,26,1998,38,30,"2,711",30.1,8,6,14,8,0,0,4,0,10.7,10.7,8.5,19.2,75,85,183,0.27,0.2,0.46,0.27,0.46,0.35,0.28,0.64,0.35,0.64,Matches
457,Sávio,br BRA,"FW,MF",Manchester City,20,2004,29,21,"1,766",19.6,1,8,9,1,0,0,3,0,5,5,6.9,11.9,137,67,246,0.05,0.41,0.46,0.05,0.46,0.26,0.35,0.61,0.26,0.61,Matches
458,Oliver Scarles,eng ENG,"DF,FW",West Ham,18,2005,15,7,665,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,12,22,44,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,Matches
459,Dane Scarlett,eng ENG,"FW,MF",Tottenham,20,2004,3,0,34,0.4,0,1,1,0,0,0,0,0,0,0,0,0.1,1,1,1,0,2.65,2.65,0,2.65,0.09,0.12,0.22,0.09,0.22,Matches
460,Kevin Schade,de GER,FW,Brentford,22,2001,38,26,"2,293",25.5,11,2,13,11,0,0,3,0,8.2,8.2,3.7,11.9,61,38,165,0.43,0.08,0.51,0.43,0.51,0.32,0.14,0.47,0.32,0.47,Matches
461,Fabian Schär,ch SUI,DF,Newcastle Utd,32,1991,34,33,"2,934",32.6,4,0,4,4,0,0,9,1,3.7,3.7,0.4,4.1,18,118,22,0.12,0,0.12,0.12,0.12,0.11,0.01,0.13,0.11,0.13,Matches
462,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,31,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
463,Alex Scott,eng ENG,MF,Bournemouth,20,2003,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0,0,0,0,0,0.09,0.11,0.19,0.09,0.19,Matches
464,Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,38,"3,420",38,0,0,0,0,0,0,4,0,0,0,0.4,0.4,1,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
465,Nélson Semedo,pt POR,DF,Wolves,30,1993,34,32,"2,886",32.1,0,4,4,0,0,0,8,0,0.9,0.9,2.8,3.7,67,80,119,0,0.12,0.12,0,0.12,0.03,0.09,0.12,0.03,0.12,Matches
466,Antoine Semenyo,gh GHA,FW,Bournemouth,24,2000,37,36,"3,203",35.6,11,5,16,11,0,0,9,0,10,10,5.8,15.8,140,109,282,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,Matches
467,Marcos Senesi,ar ARG,DF,Bournemouth,27,1997,17,13,"1,106",12.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,62,7,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
468,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24,2000,16,7,580,6.4,4,2,6,4,0,0,1,0,1.6,1.6,1.1,2.7,18,22,59,0.62,0.31,0.93,0.62,0.93,0.25,0.17,0.42,0.25,0.42,Matches
469,Luke Shaw,eng ENG,DF,Manchester Utd,29,1995,7,4,349,3.9,0,0,0,0,0,0,1,0,0,0,0.7,0.7,7,24,7,0,0,0,0,0,0.01,0.18,0.19,0.01,0.19,Matches
470,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
471,Bernardo Silva,pt POR,"MF,FW",Manchester City,29,1994,33,29,"2,670",29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.3,0.13,0.3,Matches
472,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,24,1999,31,5,854,9.5,3,1,4,3,0,0,5,0,2.1,2.1,2.9,5,21,18,59,0.32,0.11,0.42,0.32,0.42,0.22,0.3,0.53,0.22,0.53,Matches
473,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
474,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,18,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Matches
475,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1,0.46,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
476,Oliver Skipp,eng ENG,MF,Leicester City,23,2000,24,10,"1,129",12.5,0,0,0,0,0,0,8,0,0.4,0.4,0.3,0.6,16,35,19,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
477,William Smallbone,ie IRL,MF,Southampton,24,2000,18,6,690,7.7,1,0,1,1,0,0,1,0,0.6,0.6,0.7,1.3,5,27,25,0.13,0,0.13,0.13,0.13,0.07,0.1,0.17,0.07,0.17,Matches
478,Adam Smith,eng ENG,DF,Bournemouth,33,1991,25,19,"1,590",17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
479,Emile Smith Rowe,eng ENG,MF,Fulham,24,2000,34,25,"2,043",22.7,6,3,9,6,0,0,3,0,4.5,4.5,1.4,6,53,126,127,0.26,0.13,0.4,0.26,0.4,0.2,0.06,0.26,0.2,0.26,Matches
480,Dominic Solanke,eng ENG,FW,Tottenham,26,1997,27,25,"2,201",24.5,9,3,12,8,1,1,0,0,10.9,10.1,2.9,13.1,31,47,88,0.37,0.12,0.49,0.33,0.45,0.45,0.12,0.57,0.41,0.54,Matches
481,Carlos Soler,es ESP,"MF,FW",West Ham,27,1997,31,14,"1,409",15.7,1,1,2,1,0,0,6,0,1.8,1.8,1.4,3.2,17,56,37,0.06,0.06,0.13,0.06,0.13,0.12,0.09,0.21,0.12,0.21,Matches
482,Julio Soler,ar ARG,"DF,FW",Bournemouth,19,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
483,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,24,1999,19,1,295,3.3,1,0,1,1,0,0,1,0,1,1,0.5,1.5,12,6,17,0.31,0,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45,Matches
484,Tomáš Souček,cz CZE,MF,West Ham,29,1995,35,30,"2,567",28.5,9,1,10,9,0,0,8,0,6.7,6.7,1,7.8,9,74,68,0.32,0.04,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,Matches
485,Boubakary Soumaré,fr FRA,MF,Leicester City,25,1999,31,25,"2,171",24.1,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,34,105,23,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
486,Djed Spence,eng ENG,DF,Tottenham,23,2000,25,19,"1,792",19.9,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,59,105,70,0.05,0.1,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,Matches
487,Jay Stansfield,eng ENG,MF,Fulham,21,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
488,Jason Steele,eng ENG,GK,Brighton,33,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
489,Jack Stephens,eng ENG,DF,Southampton,30,1994,19,17,"1,389",15.4,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,14,63,2,0.06,0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches
490,Raheem Sterling,eng ENG,"FW,MF",Arsenal,29,1994,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0,0.36,0.36,0,0.36,0.26,0.09,0.34,0.26,0.34,Matches
491,Ross Stewart,sct SCO,FW,Southampton,28,1996,12,4,389,4.3,1,0,1,1,0,0,1,0,1.1,1.1,0,1.1,3,2,10,0.23,0,0.23,0.23,0.23,0.25,0,0.25,0.25,0.25,Matches
492,Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
493,John Stones,eng ENG,"DF,MF",Manchester City,30,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches
494,Jørgen Strand Larsen,no NOR,FW,Wolves,24,2000,35,30,"2,587",28.7,14,4,18,14,0,0,4,0,10.3,10.3,3,13.3,17,29,112,0.49,0.14,0.63,0.49,0.63,0.36,0.1,0.46,0.36,0.46,Matches
495,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24,2000,30,16,"1,557",17.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,33,72,78,0.06,0.06,0.12,0.06,0.12,0.03,0.13,0.16,0.03,0.16,Matches
496,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22,2002,26,17,"1,402",15.6,1,1,2,1,0,0,2,0,1.5,1.5,1,2.5,63,27,87,0.06,0.06,0.13,0.06,0.13,0.1,0.06,0.16,0.1,0.16,Matches
497,Crysencio Summerville,nl NED,"FW,MF",West Ham,22,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
498,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28,1995,20,13,992,11,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,19,47,0.36,0,0.36,0.36,0.36,0.31,0.02,0.33,0.31,0.33,Matches
499,Dominik Szoboszlai,hu HUN,MF,Liverpool,23,2000,36,29,"2,491",27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,Matches
500,Matt Targett,eng ENG,DF,Newcastle Utd,28,1995,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,James Tarkowski,eng ENG,DF,Everton,31,1992,33,33,"2,922",32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches
502,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25,1999,29,20,"1,939",21.5,3,5,8,3,0,0,6,0,5.5,5.5,4,9.5,53,128,129,0.14,0.23,0.37,0.14,0.37,0.25,0.19,0.44,0.25,0.44,Matches
503,Charlie Taylor,eng ENG,DF,Southampton,30,1993,8,3,356,4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,9,7,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
504,Jack Taylor,ie IRL,MF,Ipswich Town,26,1998,32,4,860,9.6,1,0,1,1,0,0,4,0,0.7,0.7,0.5,1.3,11,43,23,0.1,0,0.1,0.1,0.1,0.08,0.06,0.13,0.08,0.13,Matches
505,Mathys Tel,fr FRA,FW,Tottenham,19,2005,13,11,911,10.1,2,1,3,1,1,1,2,0,3,2.2,2.6,4.7,28,21,72,0.2,0.1,0.3,0.1,0.2,0.29,0.25,0.55,0.22,0.47,Matches
506,Kenny Tete,nl NED,DF,Fulham,28,1995,22,21,"1,774",19.7,0,2,2,0,0,0,5,0,1.4,1.4,0.9,2.3,34,63,54,0,0.1,0.1,0,0.1,0.07,0.05,0.12,0.07,0.12,Matches
507,Thiago,br BRA,"FW,MF",Brentford,23,2001,8,1,175,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,4,8,0,0,0,0,0,0.07,0.04,0.1,0.07,0.1,Matches
508,Luke Thomas,eng ENG,DF,Leicester City,23,2001,14,13,"1,110",12.3,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,5,37,16,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Matches
509,Youri Tielemans,be BEL,MF,Aston Villa,27,1997,36,35,"3,026",33.6,3,7,10,3,0,1,4,0,3.3,2.5,7,9.5,39,235,48,0.09,0.21,0.3,0.09,0.3,0.1,0.21,0.31,0.07,0.28,Matches
510,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27,1997,13,2,259,2.9,1,0,1,1,0,0,0,0,0.4,0.4,1.4,1.7,8,15,29,0.35,0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6,Matches
511,Jurriën Timber,nl NED,DF,Arsenal,23,2001,30,27,"2,417",26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches
512,Jean-Clair Todibo,fr FRA,DF,West Ham,24,1999,27,20,"1,825",20.3,0,0,0,0,0,0,3,0,0.4,0.4,0,0.4,9,38,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
513,Harry Toffolo,eng ENG,DF,Nott'ham Forest,28,1995,4,1,137,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,2.37,0,2.37,2.37,2.37,Matches
515,Sandro Tonali,it ITA,MF,Newcastle Utd,24,2000,36,28,"2,630",29.2,4,2,6,4,0,0,5,0,4.4,4.4,2.2,6.6,37,128,53,0.14,0.07,0.21,0.14,0.21,0.15,0.07,0.22,0.15,0.22,Matches
516,Pau Torres,es ESP,DF,Aston Villa,27,1997,24,23,"2,020",22.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,40,97,8,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
517,Conor Townsend,eng ENG,DF,Ipswich Town,31,1993,6,3,335,3.7,0,1,1,0,0,0,1,0,0,0,0.7,0.7,2,8,13,0,0.27,0.27,0,0.27,0.01,0.18,0.18,0.01,0.18,Matches
518,Adama Traoré,es ESP,"FW,MF",Fulham,28,1996,36,18,"1,772",19.7,2,7,9,2,0,0,3,0,4,4,4.9,8.9,100,68,161,0.1,0.36,0.46,0.1,0.46,0.2,0.25,0.45,0.2,0.45,Matches
519,Boubacar Traoré,ml MLI,MF,Wolves,22,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
520,Mark Travers,ie IRL,GK,Bournemouth,25,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
521,Ryan Trevitt,eng ENG,MF,Brentford,21,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
522,Kieran Trippier,eng ENG,DF,Newcastle Utd,33,1990,25,14,"1,309",14.5,0,3,3,0,0,0,1,0,0.1,0.1,1.4,1.5,26,117,58,0,0.21,0.21,0,0.21,0.01,0.1,0.1,0.01,0.1,Matches
523,Leandro Trossard,be BEL,FW,Arsenal,29,1994,38,28,"2,546",28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,Matches
524,Kostas Tsimikas,gr GRE,DF,Liverpool,28,1996,18,9,837,9.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,17,76,43,0,0.11,0.11,0,0.11,0.04,0.23,0.27,0.04,0.27,Matches
525,Axel Tuanzebe,cd COD,DF,Ipswich Town,26,1997,22,20,"1,710",19,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,10,61,15,0,0.05,0.05,0,0.05,0.01,0.02,0.03,0.01,0.03,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Destiny Udogie,it ITA,DF,Tottenham,21,2002,25,24,"1,924",21.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,121,94,0,0.05,0.05,0,0.05,0.01,0.07,0.08,0.01,0.08,Matches
527,Manuel Ugarte,uy URU,MF,Manchester Utd,23,2001,29,22,"1,785",19.8,1,2,3,1,0,0,11,0,1,1,1.1,2.1,16,61,20,0.05,0.1,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,Matches
528,Lesley Ugochukwu,fr FRA,MF,Southampton,20,2004,26,18,"1,655",18.4,1,1,2,1,0,0,7,0,0.9,0.9,1,1.9,29,49,20,0.05,0.05,0.11,0.05,0.11,0.05,0.06,0.1,0.05,0.1,Matches
529,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,Matches
530,Hákon Valdimarsson,is ISL,GK,Brentford,22,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,37,"3,330",37,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,Matches
532,Jamie Vardy,eng ENG,FW,Leicester City,37,1987,35,35,"2,823",31.4,9,4,13,8,1,2,5,0,11.2,9.6,3,12.6,29,22,120,0.29,0.13,0.41,0.26,0.38,0.36,0.1,0.45,0.31,0.4,Matches
533,Renato Veiga,pt POR,"DF,MF",Chelsea,21,2003,7,1,181,2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,7,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
534,Joël Veltman,nl NED,DF,Brighton,32,1992,21,19,"1,697",18.9,0,0,0,0,0,0,5,0,0.5,0.5,0.5,0.9,32,85,34,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05,Matches
535,Micky van de Ven,nl NED,DF,Tottenham,23,2001,13,12,"1,015",11.3,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0,0.18,0.18,0,0.18,0.05,0.1,0.15,0.05,0.15,Matches
536,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,36,"3,240",36,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0.03,0.03,0,0.03,0,0,0,0,0,Matches
537,Jannik Vestergaard,dk DEN,DF,Leicester City,31,1992,18,16,"1,391",15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
538,Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,24,24,"2,160",24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
539,Carlos Vinícius,br BRA,"MF,FW",Fulham,29,1995,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
540,Kyle Walker,eng ENG,DF,Manchester City,34,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
541,Kyle Walker-Peters,eng ENG,DF,Southampton,27,1997,33,33,"2,918",32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0,0.06,0.06,0,0.06,0.03,0.09,0.11,0.03,0.11,Matches
542,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
543,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,36,35,"3,154",35,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,Matches
544,Danny Ward,wls WAL,GK,Leicester City,31,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
545,Joel Ward,eng ENG,DF,Crystal Palace,34,1989,2,1,71,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
546,James Ward-Prowse,eng ENG,MF,West Ham,29,1994,15,12,"1,039",11.5,1,1,2,1,0,0,2,0,1.6,1.6,1.9,3.6,11,54,9,0.09,0.09,0.17,0.09,0.17,0.14,0.17,0.31,0.14,0.31,Matches
547,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29,1994,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0,0.23,0.23,0,0.23,0.01,0.25,0.26,0.01,0.26,Matches
548,Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,38,31,"2,598",28.9,16,8,24,14,2,2,2,0,15.3,13.8,3.3,17.1,55,31,165,0.55,0.28,0.83,0.48,0.76,0.53,0.12,0.65,0.48,0.59,Matches
549,Adam Webster,eng ENG,DF,Brighton,29,1995,14,11,887,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
