,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
140,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,4,109,27,3.2,1.2,1,45,0,3,21,6,0.75,0,6,-6,-4.95,-3.84,0.7,2.5,-1.7,-1.46,-0.44,Matches
141,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,824,46,24.1,9.2,10,76,4,8,8,13,1.78,8,8,0,0,0.55,9.7,12.7,-3,-0.32,0.01,Matches
142,Marc Cucurella,es ESP,DF,Chelsea,26,1998,36,"2,988",83,87.4,33.2,33,88,27,3,24,0,1.89,60,38,22,0.66,0.87,61.9,40.1,21.8,0.66,0.92,Matches
143,Jorge Cuenca,es ESP,DF,Fulham,24,1999,8,351,44,10.3,3.9,4,87,3,4,1,18,1.5,5,8,-3,-0.77,-0.86,4.6,8.8,-4.2,-1.08,-1.26,Matches
144,Luke Cundle,eng ENG,MF,Wolves,22,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
145,Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,33,"2,597",79,75.9,28.9,29,85,19,4,31,0,0.97,41,54,-13,-0.45,-0.23,32.6,44.5,-11.9,-0.41,-0.14,Matches
146,Patson Daka,zm ZAM,"FW,MF",Leicester City,25,1998,23,736,32,21.5,8.2,6,72,1,17,18,4,0.61,7,16,-9,-1.1,0.17,6.5,17,-10.5,-1.29,-0.33,Matches
147,Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,33,"2,814",85,82.3,31.3,31,89,30,2,29,0,1.15,34,45,-11,-0.35,-0.5,39.9,46.1,-6.2,-0.2,-0.93,Matches
148,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,38,"2,911",77,85.1,32.3,34,83,11,4,23,0,1.47,58,41,17,0.53,1.94,52.8,45,7.8,0.24,0.99,Matches
149,Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,8,275,34,8,3.1,5,47,0,3,13,6,2.13,8,4,4,1.31,1.08,3.2,4.8,-1.6,-0.54,-0.48,Matches
150,Jayden Danns,eng ENG,MF,Liverpool,18,2006,1,11,11,0.3,0.1,0,,0,1,11,1,3,0,1,-1,-8.18,-9.4,0,0.4,-0.4,-3.38,-4.54,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
151,Kevin Danso,at AUT,DF,Tottenham,25,1998,10,842,84,24.6,9.4,9,89,8,1,45,0,0.8,11,18,-7,-0.75,-0.96,11.7,17,-5.3,-0.57,-0.59,Matches
152,Ben Davies,wls WAL,DF,Tottenham,31,1993,17,"1,331",78,38.9,14.8,14,88,13,3,33,7,1,22,26,-4,-0.27,-0.4,19,25.5,-6.5,-0.44,-0.53,Matches
153,Harvey Davies,eng ENG,GK,Liverpool,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
154,Leif Davis,eng ENG,DF,Ipswich Town,24,2000,33,"2,743",83,80.2,30.5,32,85,27,1,10,0,0.52,29,69,-40,-1.31,-0.51,29.2,59.4,-30.2,-0.99,0.1,Matches
155,Craig Dawson,eng ENG,DF,Wolves,34,1990,15,971,65,28.4,10.8,10,89,9,5,17,6,0.87,16,25,-9,-0.83,-0.61,10.6,18.7,-8.1,-0.75,-0.51,Matches
156,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,28,"1,702",61,49.8,18.9,19,83,7,9,15,5,1.82,42,19,23,1.22,0.95,34.4,21.1,13.2,0.7,0.32,Matches
157,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,23,744,32,21.8,8.3,9,67,0,14,10,9,0.65,9,17,-8,-0.97,0.34,7.1,14.6,-7.5,-0.9,0.17,Matches
158,Liam Delap,eng ENG,FW,Ipswich Town,21,2003,37,"2,593",70,75.8,28.8,32,78,3,5,18,0,0.59,25,58,-33,-1.15,0.27,25.7,52.1,-26.5,-0.92,0.37,Matches
159,Sepp van den Berg,nl NED,DF,Brentford,22,2001,31,"2,586",83,75.6,28.7,29,88,25,2,18,1,1.55,54,49,5,0.17,-0.26,47.8,43.8,4,0.14,0.18,Matches
160,Will Dennis,eng ENG,GK,Bournemouth,24,2000,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
161,Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,23,507,22,14.8,5.6,4,68,0,19,12,7,1.65,8,8,0,0,0,8.4,9.1,-0.7,-0.12,-0.49,Matches
162,Alfie Devine,eng ENG,MF,Tottenham,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
163,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25,1998,13,264,20,7.7,2.9,2,67,0,11,12,13,2.15,6,3,3,1.02,0.51,5.4,3.8,1.6,0.56,0.02,Matches
164,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,26,"1,901",73,55.6,21.1,20,87,14,6,28,2,1.08,28,30,-2,-0.09,0.38,31.8,31.4,0.4,0.02,0.12,Matches
165,Rúben Dias,pt POR,DF,Manchester City,27,1997,27,"2,271",84,66.4,25.2,25,90,25,2,11,0,2.11,50,21,29,1.15,1.23,46.2,28.8,17.5,0.69,0.46,Matches
166,Luis Díaz,co COL,FW,Liverpool,27,1997,36,"2,399",67,70.1,26.7,28,79,7,8,24,2,2.25,67,21,46,1.73,1.81,61.2,24.9,36.2,1.36,0.71,Matches
167,Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,33,"1,874",57,54.8,20.8,20,76,8,13,27,1,0.27,16,50,-34,-1.63,-0.12,19.5,48.5,-28.9,-1.39,-0.04,Matches
168,Lucas Digne,fr FRA,DF,Aston Villa,31,1993,32,"2,351",73,68.7,26.1,28,80,13,4,30,6,1.59,34,36,-2,-0.08,-0.83,32.7,34.7,-2,-0.08,-0.75,Matches
169,Issa Diop,fr FRA,DF,Fulham,27,1997,21,"1,339",64,39.2,14.9,15,86,13,6,8,9,1.52,19,19,0,0,0,16.1,19.6,-3.5,-0.23,-0.46,Matches
170,Axel Disasi,fr FRA,DF,Aston Villa,26,1998,7,490,70,14.3,5.4,5,90,5,2,20,4,1.57,8,9,-1,-0.18,-0.43,8.2,10.4,-2.2,-0.41,-0.66,Matches
171,Axel Disasi,fr FRA,DF,Chelsea,26,1998,6,364,61,10.6,4,4,79,2,2,24,9,2.17,5,3,2,0.49,-0.07,9.5,6.3,3.2,0.79,0.28,Matches
172,Roman Dixon,eng ENG,DF,Everton,19,2004,1,90,90,2.6,1,1,90,1,0,,7,0,0,4,-4,-4,-4.05,1,2.4,-1.5,-1.45,-1.37,Matches
173,Nasser Djiga,bf BFA,DF,Wolves,21,2002,5,66,13,1.9,0.7,1,45,0,4,5,8,2.4,1,2,-1,-1.36,-0.99,0.7,1.2,-0.5,-0.7,-0.32,Matches
174,Matt Doherty,ie IRL,DF,Wolves,32,1992,30,"2,109",70,61.7,23.4,25,83,16,5,9,8,1.33,27,38,-11,-0.47,-0.19,27.9,32.8,-5,-0.21,0.44,Matches
175,Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,29,"1,516",52,44.3,16.8,16,81,6,13,17,4,1.9,34,14,20,1.19,0.81,33.5,14.4,19.1,1.13,1.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
176,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,34,"1,963",58,57.4,21.8,23,73,5,11,26,3,1.76,31,27,4,0.18,-0.31,25.4,31.1,-5.6,-0.26,-0.4,Matches
177,Patrick Dorgu,dk DEN,DF,Manchester Utd,19,2004,12,842,70,24.6,9.4,10,77,6,2,34,0,0.75,7,11,-4,-0.43,-0.22,12.6,9.9,2.7,0.29,0.43,Matches
178,Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,1,14,14,0.4,0.2,0,,0,1,14,3,3,0,0,0,0,0.03,0.4,0,0.4,2.56,2.69,Matches
179,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,33,"2,564",78,75,28.5,31,82,16,2,12,1,1.3,28,33,-5,-0.18,-0.49,31,34.8,-3.8,-0.13,-0.07,Matches
180,Cheick Doucouré,ml MLI,MF,Crystal Palace,24,2000,13,452,35,13.2,5,4,55,0,9,26,4,1.38,5,6,-1,-0.2,-0.23,6.8,7.7,-0.9,-0.17,-0.54,Matches
181,Flynn Downes,eng ENG,MF,Southampton,25,1999,27,"2,151",80,62.9,23.9,25,85,18,2,13,2,0.33,14,49,-35,-1.46,0.31,21.2,46.7,-25.5,-1.07,0.82,Matches
182,Tommy Doyle,eng ENG,MF,Wolves,22,2001,24,488,20,14.3,5.4,3,70,1,21,13,9,0.96,7,10,-3,-0.55,-0.18,6.9,10.3,-3.4,-0.63,-0.3,Matches
183,Radu Drăgușin,ro ROU,DF,Tottenham,22,2002,16,"1,252",78,36.6,13.9,14,83,11,2,43,7,0.88,25,29,-4,-0.29,-0.41,21.8,29.7,-7.9,-0.57,-0.71,Matches
184,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,900,90,26.3,10,10,90,10,0,,24,2.1,23,12,11,1.1,0.74,20.2,10.8,9.4,0.94,0.62,Matches
185,Lewis Dunk,eng ENG,DF,Brighton,32,1991,25,"2,083",83,60.9,23.1,23,89,21,2,24,2,1.24,33,42,-9,-0.39,-1.47,32.1,35.4,-3.3,-0.14,-0.65,Matches
186,Jáder Durán,co COL,FW,Aston Villa,20,2003,20,638,32,18.7,7.1,4,60,0,16,25,1,1.5,12,12,0,0,-0.23,9.2,9.7,-0.5,-0.07,-0.28,Matches
187,Coby Ebere,de GER,MF,Everton,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
188,Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,1,6,6,0.2,0.1,0,,0,1,6,0,3,0,0,0,0,-0.74,0,0.4,-0.4,-5.43,-5.97,Matches
189,Ederson,br BRA,GK,Manchester City,30,1993,26,"2,320",89,67.8,25.8,26,89,25,0,,4,2,49,26,23,0.89,0.48,49,28.7,20.3,0.79,0.78,Matches
190,George Edmundson,eng ENG,DF,Ipswich Town,26,1997,1,2,2,0.1,0,0,,0,1,2,0,0,0,0,0,0,1.21,0,0,0,0,1.01,Matches
191,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26,1998,2,115,58,3.4,1.3,1,70,0,1,45,0,0,1,2,-1,-0.78,-0.81,1.7,2.1,-0.4,-0.28,-0.6,Matches
192,Odsonne Édouard,fr FRA,FW,Leicester City,26,1998,4,29,7,0.8,0.3,0,,0,4,7,3,1,0,1,-1,-3.1,-1.88,0.1,1.6,-1.5,-4.64,-3.64,Matches
193,Samuel Edozie,eng ENG,"DF,FW",Southampton,21,2003,2,65,33,1.9,0.7,0,,0,2,33,0,0,0,0,0,0,1.61,1.4,0.3,1.1,1.46,2.88,Matches
194,Tom Edozie,eng ENG,MF,Wolves,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
195,Ronnie Edwards,eng ENG,DF,Southampton,21,2003,1,12,12,0.4,0.1,0,,0,1,12,2,0,0,1,-1,-7.5,-5.94,0,0.3,-0.3,-2.19,-0.82,Matches
196,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,38,"2,501",66,73.1,27.8,31,76,12,7,22,0,1.71,45,35,10,0.36,0.16,33.9,37.6,-3.6,-0.13,-0.15,Matches
197,Harvey Elliott,eng ENG,MF,Liverpool,21,2003,18,371,21,10.8,4.1,2,79,1,16,13,12,2.06,11,6,5,1.21,0.03,11.2,6.1,5.1,1.23,0.09,Matches
198,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18,2006,10,42,4,1.2,0.5,0,,0,10,4,26,2.2,2,2,0,0,-0.24,1,1.7,-0.7,-1.56,-1.68,Matches
199,Julio Enciso,py PAR,"MF,FW",Ipswich Town,20,2004,13,869,67,25.4,9.7,12,71,2,1,12,0,0.46,9,18,-9,-0.93,0.37,9.7,16.4,-6.7,-0.7,0.42,Matches
200,Julio Enciso,py PAR,"MF,FW",Brighton,20,2004,12,294,25,8.6,3.3,2,67,0,10,16,7,1.5,3,4,-1,-0.31,-0.54,4.5,4.9,-0.5,-0.14,-0.28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
201,Wataru Endo,jp JPN,"MF,DF",Liverpool,31,1993,20,273,14,8,3,1,68,0,19,11,17,2.5,4,5,-1,-0.33,-1.65,5.4,4.2,1.2,0.39,-0.82,Matches
202,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,23,"1,061",46,31,11.8,11,80,5,12,15,12,1.13,17,16,1,0.08,0.5,18.3,18.2,0.1,0.01,0.07,Matches
203,Romain Esse,eng ENG,MF,Crystal Palace,19,2005,7,138,20,4,1.5,1,80,0,6,10,8,1.57,5,3,2,1.3,1.36,2.6,1.9,0.7,0.46,0.17,Matches
204,Pervis Estupiñán,ec ECU,DF,Brighton,26,1998,30,"2,402",80,70.2,26.7,26,88,22,4,27,1,1.57,47,44,3,0.11,-0.24,42.6,39.6,3,0.11,0.01,Matches
205,Evanilson,br BRA,FW,Bournemouth,24,1999,31,"2,319",75,67.8,25.8,28,80,7,3,23,1,1.45,34,29,5,0.19,-0.38,44.1,26.6,17.5,0.68,0.84,Matches
206,Jake Evans,,FW,Leicester City,,,4,24,6,0.7,0.3,0,,0,4,6,1,1.75,0,1,-1,-3.75,-2.53,0.1,0.2,-0.2,-0.57,0.46,Matches
207,Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,7,315,45,9.2,3.5,3,77,1,4,21,10,2.43,8,2,6,1.71,2.18,5.6,3,2.6,0.75,0.86,Matches
208,Julian Eyestone,us USA,GK,Brentford,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
209,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26,1998,34,"2,588",76,75.7,28.8,31,81,13,3,28,0,1.5,39,34,5,0.17,0.71,45.4,34.5,10.9,0.38,0.33,Matches
210,Łukasz Fabiański,pl POL,GK,West Ham,39,1985,14,"1,160",83,33.9,12.9,13,86,12,1,45,21,1.5,17,21,-4,-0.31,0.17,16.9,22.4,-5.5,-0.43,-0.14,Matches
211,Wout Faes,be BEL,DF,Leicester City,26,1998,34,"2,815",83,82.3,31.3,30,90,30,4,29,1,0.71,29,63,-34,-1.09,0.85,27.7,57.3,-29.6,-0.94,0.5,Matches
212,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20,2004,11,579,53,16.9,6.4,6,86,5,5,12,0,0.91,7,14,-7,-1.09,0.18,6.8,10.7,-3.9,-0.6,0.52,Matches
213,João Félix,pt POR,"FW,MF",Chelsea,24,1999,12,369,31,10.8,4.1,3,75,1,9,16,8,2.25,10,4,6,1.46,1.02,13.8,5.7,8.1,1.98,1.61,Matches
214,Evan Ferguson,ie IRL,FW,West Ham,19,2004,8,156,20,4.6,1.7,1,45,0,7,16,4,1.13,0,2,-2,-1.15,-0.77,1.9,1.3,0.6,0.36,0.72,Matches
215,Evan Ferguson,ie IRL,FW,Brighton,19,2004,13,246,19,7.2,2.7,2,65,0,11,11,2,0.92,4,7,-3,-1.1,-1.38,2.9,4.8,-1.9,-0.71,-0.88,Matches
216,Bruno Fernandes,pt POR,MF,Manchester Utd,29,1994,36,"3,018",84,88.2,33.5,35,85,28,1,32,1,1.17,41,43,-2,-0.06,1.73,48.5,45.2,3.2,0.1,1.1,Matches
217,Mateus Fernandes,pt POR,MF,Southampton,20,2004,36,"2,909",81,85.1,32.3,34,84,19,2,30,0,0.33,25,66,-41,-1.27,2.08,27.4,69.2,-41.7,-1.29,0.55,Matches
218,Enzo Fernández,ar ARG,MF,Chelsea,23,2001,36,"2,947",82,86.2,32.7,32,89,26,4,25,0,1.75,56,37,19,0.58,0.2,57.7,38.1,19.6,0.6,0.43,Matches
219,Jayce Fitzgerald,eng ENG,MF,Manchester Utd,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
220,Mark Flekken,nl NED,GK,Brentford,31,1993,37,"3,275",89,95.8,36.4,37,89,36,0,,0,1.51,66,55,11,0.3,1.54,55.9,54,1.9,0.05,-0.97,Matches
221,Jack Fletcher,eng ENG,MF,Manchester Utd,17,2007,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
222,Phil Foden,eng ENG,"MF,FW",Manchester City,24,2000,28,"1,777",63,52,19.7,20,81,10,8,20,5,1.54,30,24,6,0.3,-0.9,31.2,28.8,2.4,0.12,-0.86,Matches
223,Wes Foderingham,eng ENG,GK,West Ham,33,1991,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
224,Wesley Fofana,fr FRA,DF,Chelsea,23,2000,14,"1,172",84,34.3,13,14,84,10,0,,1,2,25,13,12,0.92,0.56,23.2,15.6,7.7,0.59,0.08,Matches
225,Carlos Forbs,pt POR,"MF,FW",Wolves,20,2004,10,239,24,7,2.7,1,67,0,9,19,17,0.8,7,9,-2,-0.75,-0.39,3.2,8.4,-5.2,-1.97,-1.71,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
226,Fraser Forster,eng ENG,GK,Tottenham,36,1988,7,630,90,18.4,7,7,90,7,0,,11,0.71,14,15,-1,-0.14,-0.14,11.1,16,-4.9,-0.7,-0.72,Matches
227,Matheus França,br BRA,"MF,FW",Crystal Palace,20,2004,4,55,14,1.6,0.6,0,,0,4,14,7,1.25,2,0,2,3.27,3.33,1.1,0.4,0.7,1.22,0.93,Matches
228,Ryan Fraser,sct SCO,"FW,DF",Southampton,30,1994,8,306,38,8.9,3.4,4,60,0,4,17,5,0.25,4,10,-6,-1.76,-0.2,5.6,10.2,-4.6,-1.35,0.02,Matches
229,Benjamin Fredrick,ng NGA,DF,Brentford,19,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
230,Tyler Fredricson,eng ENG,DF,Manchester Utd,19,2005,2,165,83,4.8,1.8,2,83,1,0,,6,0,1,5,-4,-2.18,-2.02,2.6,2.9,-0.3,-0.17,-0.15,Matches
231,Niclas Füllkrug,de GER,FW,West Ham,31,1993,18,790,44,23.1,8.8,6,74,1,12,29,1,0.94,16,18,-2,-0.23,0.25,13.2,14,-0.9,-0.1,0.31,Matches
232,Cody Gakpo,nl NED,FW,Liverpool,25,1999,35,"1,935",55,56.6,21.5,23,73,6,12,21,0,2.2,45,25,20,0.93,-0.58,45.3,21.6,23.8,1.11,-0.09,Matches
233,Idrissa Gana Gueye,sn SEN,MF,Everton,34,1989,37,"3,063",83,89.6,34,35,86,25,2,21,0,1.27,37,39,-2,-0.06,-0.06,37.8,39.9,-2.1,-0.06,0.54,Matches
234,Andrés García,es ESP,"DF,MF",Aston Villa,21,2003,7,318,45,9.3,3.5,5,58,1,2,14,9,1.57,7,5,2,0.57,0.42,5.8,6.6,-0.7,-0.21,-0.41,Matches
235,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20,2004,36,"2,199",61,64.3,24.4,23,81,14,13,26,0,1,26,36,-10,-0.41,-0.41,35.6,35,0.5,0.02,0.15,Matches
236,James Garner,eng ENG,"MF,DF",Everton,23,2001,21,"1,594",76,46.6,17.7,17,87,11,4,28,1,1.57,21,19,2,0.11,0.31,20.3,19.3,1,0.06,0.33,Matches
237,Joe Gauci,au AUS,GK,Aston Villa,24,2000,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
238,Tyrique George,eng ENG,FW,Chelsea,18,2006,8,183,23,5.4,2,1,80,0,7,15,11,2.25,4,0,4,1.97,1.49,2.4,1.4,1,0.47,-0.08,Matches
239,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24,2000,34,"2,803",82,82,31.1,34,82,13,0,,0,1.74,49,34,15,0.48,0.92,36.9,40.1,-3.2,-0.1,-0.07,Matches
240,Billy Gilmour,sct SCO,MF,Brighton,23,2001,2,98,49,2.9,1.1,1,89,0,1,9,0,3,2,1,1,0.92,0.76,1.6,1.3,0.2,0.22,0.11,Matches
241,Ben Godfrey,eng ENG,DF,Ipswich Town,26,1998,3,159,53,4.6,1.8,2,54,0,1,51,8,0,1,10,-9,-5.09,-4.07,1.4,5.7,-4.3,-2.43,-1.5,Matches
