,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
137,Issa Diop,fr FRA,DF,Fulham,27,1997,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,Matches
138,Axel Disasi,fr FRA,DF,Aston Villa,26,1998,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches
139,Axel Disasi,fr FRA,DF,Chelsea,26,1998,4,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4,Matches
140,Roman Dixon,eng ENG,DF,Everton,19,2004,1,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0,Matches
141,Nasser Djiga,bf BFA,DF,Wolves,21,2002,0.7,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,50,Matches
142,Matt Doherty,ie IRL,DF,Wolves,32,1992,23.4,6,0,0,18,11,2,22,22,21,0,0,1,106,56,21,72.7,Matches
143,Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,16.8,1,0,0,10,33,5,59,4,22,0,0,0,63,0,12,0,Matches
144,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,21.8,9,0,0,33,18,1,7,29,45,0,0,0,114,27,23,54,Matches
145,Patrick Dorgu,dk DEN,DF,Manchester Utd,19,2004,9.4,3,1,0,17,28,3,39,4,24,0,0,0,37,15,9,62.5,Matches
146,Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,28.5,5,1,1,49,5,10,23,10,28,0,0,0,150,30,44,40.5,Matches
148,Cheick Doucouré,ml MLI,MF,Crystal Palace,24,2000,5,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50,Matches
149,Flynn Downes,eng ENG,MF,Southampton,25,1999,23.9,12,0,0,50,39,0,4,32,25,0,0,0,83,17,17,50,Matches
150,Tommy Doyle,eng ENG,MF,Wolves,22,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
151,Radu Drăgușin,ro ROU,DF,Tottenham,22,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60,Matches
152,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100,Matches
153,Lewis Dunk,eng ENG,DF,Brighton,32,1991,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2,Matches
154,Jáder Durán,co COL,FW,Aston Villa,20,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50,Matches
155,Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
156,Ederson,br BRA,GK,Manchester City,30,1993,25.8,4,0,0,1,0,0,0,1,0,0,1,0,42,4,1,80,Matches
157,George Edmundson,eng ENG,DF,Ipswich Town,26,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
158,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20,Matches
159,Odsonne Édouard,fr FRA,FW,Leicester City,26,1998,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50,Matches
160,Samuel Edozie,eng ENG,"DF,FW",Southampton,21,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,Matches
161,Ronnie Edwards,eng ENG,DF,Southampton,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
162,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,27.8,1,0,0,9,47,18,185,6,14,0,0,0,89,24,37,39.3,Matches
163,Harvey Elliott,eng ENG,MF,Liverpool,21,2003,4.1,1,0,0,0,1,1,12,1,3,0,0,0,15,1,2,33.3,Matches
164,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18,2006,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7,Matches
165,Julio Enciso,py PAR,"MF,FW",Ipswich Town,20,2004,9.7,3,0,0,9,21,0,21,1,9,0,1,0,43,8,17,32,Matches
166,Julio Enciso,py PAR,"MF,FW",Brighton,20,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,Matches
167,Wataru Endo,jp JPN,"MF,DF",Liverpool,31,1993,3,0,0,0,15,7,0,1,6,8,0,0,0,14,3,4,42.9,Matches
168,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,11.8,4,0,0,8,3,0,85,7,9,0,0,0,62,2,6,25,Matches
169,Romain Esse,eng ENG,MF,Crystal Palace,19,2005,1.5,0,0,0,2,3,0,0,1,6,0,0,0,9,3,2,60,Matches
170,Pervis Estupiñán,ec ECU,DF,Brighton,26,1998,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9,Matches
171,Evanilson,br BRA,FW,Bournemouth,24,1999,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4,Matches
172,Jake Evans,,FW,Leicester City,,,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Matches
173,Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,3.5,1,0,0,5,6,0,0,5,6,0,0,0,16,9,3,75,Matches
174,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26,1998,28.8,1,0,0,13,51,9,112,11,22,0,0,0,146,7,37,15.9,Matches
175,Łukasz Fabiański,pl POL,GK,West Ham,39,1985,12.9,2,0,0,2,1,0,0,0,0,0,2,0,5,3,1,75,Matches
